node_id,i,j,k,lon,lat,level_hPa,T_K,p_Pa,u_ms,v_ms,omega_pas,Phi,q
0,0,0,1,-10.0,35.5,1000,273.15,100000.0,0.0,0.0,0.0,0.0,0.0
0,0,0,2,-10.0,35.5,925,273.15,92500.0,0.0,0.0,0.0,0.0,0.0
0,0,0,3,-10.0,35.5,850,273.15,85000.0,0.0,0.0,0.0,0.0,0.0
0,0,0,4,-10.0,35.5,700,273.15,70000.0,0.0,0.0,0.0,0.0,0.0
0,0,0,5,-10.0,35.5,500,273.15,50000.0,0.0,0.0,0.0,0.0,0.0
0,0,0,6,-10.0,35.5,300,273.15,30000.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,-9.5,35.5,1000,273.15,100000.0,0.0,0.0,0.0,0.0,0.0
1,1,0,2,-9.5,35.5,925,273.15,92500.0,0.0,0.0,0.0,0.0,0.0
1,1,0,3,-9.5,35.5,850,273.15,85000.0,0.0,0.0,0.0,0.0,0.0
1,1,0,4,-9.5,35.5,700,273.15,70000.0,0.0,0.0,0.0,0.0,0.0
1,1,0,5,-9.5,35.5,500,273.15,50000.0,0.0,0.0,0.0,0.0,0.0
1,1,0,6,-9.5,35.5,300,273.15,30000.0,0.0,0.0,0.0,0.0,0.0
2,2,0,1,-9.0,35.5,1000,273.15,100000.0,0.0,0.0,0.0,0.0,0.0
2,2,0,2,-9.0,35.5,925,273.15,92500.0,0.0,0.0,0.0,0.0,0.0
2,2,0,3,-9.0,35.5,850,273.15,85000.0,0.0,0.0,0.0,0.0,0.0
2,2,0,4,-9.0,35.5,700,273.15,70000.0,0.0,0.0,0.0,0.0,0.0
2,2,0,5,-9.0,35.5,500,273.15,50000.0,0.0,0.0,0.0,0.0,0.0
2,2,0,6,-9.0,35.5,300,273.15,30000.0,0.0,0.0,0.0,0.0,0.0
3,3,0,1,-8.5,35.5,1000,273.15,100000.0,0.0,0.0,0.0,0.0,0.0
3,3,0,2,-8.5,35.5,925,273.15,92500.0,0.0,0.0,0.0,0.0,0.0
3,3,0,3,-8.5,35.5,850,273.15,85000.0,0.0,0.0,0.0,0.0,0.0
3,3,0,4,-8.5,35.5,700,273.15,70000.0,0.0,0.0,0.0,0.0,0.0
