node_id,i,j,k,lon,lat,level_hPa,T_K,p_Pa,u_ms,v_ms,omega_pas,Phi,q
0,0,0,1,-10.0,35.5,1000,-4.052378733836687e+82,100000.0,78060.4404,-28241.6218,0.0,1284.67,0.00761714
0,0,0,2,-10.0,35.5,925,1.8220250054636788e+82,92500.0,-30553.9367,121825.0274,-2.0,-2.4957082980164294e+83,0.00685537
0,0,0,3,-10.0,35.5,850,-1.0112454970564928e+82,85000.0,-8370.7623,29514.2756,2.0,-1.5117108274732904e+83,0.00468438
0,0,0,4,-10.0,35.5,700,5.626653727929681e+81,70000.0,63717.3573,-30350.6336,2.0,-2.7617698939692835e+83,0.00046663
0,0,0,5,-10.0,35.5,500,-2.415066735877276e+81,50000.0,-5258.1979,18790.0683,2.0,-1.2107813704219368e+83,0.00124801
0,0,0,6,-10.0,35.5,300,-1.6350388716254516e+82,30000.0,59131.8663,19621.629,0.0,-1.4969292597567019e+84,0.00011473
61,0,1,1,-10.0,35.75,1000,-4.22077846101613e+82,100000.0,15093.0028,-36590.1151,0.0,1265.06,0.00782471
61,0,1,2,-10.0,35.75,925,1.5921686661650365e+82,92500.0,16744.0299,134186.7301,-2.0,-2.941346564808213e+83,0.0071924
61,0,1,3,-10.0,35.75,850,-4.9492705854138316e+81,85000.0,-49299.1444,23246.4653,-2.0,-1.6096861623426278e+83,0.00568411
61,0,1,4,-10.0,35.75,700,-1.7917703715549667e+81,70000.0,-6271.7493,-2241.2374,-2.0,-3.4882132994320296e+83,0.00026095
61,0,1,5,-10.0,35.75,500,-3.7933983028018836e+81,50000.0,-9341.5269,-35749.4096,-2.0,-6.185488054075285e+83,0.00125906
61,0,1,6,-10.0,35.75,300,-1.5054761274955225e+82,30000.0,-57770.3801,1604.5428,0.0,-2.0004636532676893e+84,0.00011473
122,0,2,1,-10.0,36.0,1000,-3.980947184818806e+82,100000.0,-10889.9749,67814.1193,0.0,1235.64,0.00793037
122,0,2,2,-10.0,36.0,925,2.2308378513352566e+82,92500.0,-4063.9879,-24891.9418,2.0,-1.9583272063293204e+83,0.0067617
122,0,2,3,-10.0,36.0,850,-1.0036814928283031e+82,85000.0,-24381.3991,6421.7131,-2.0,-4.689965804184625e+82,0.00536979
122,0,2,4,-10.0,36.0,700,5.535854102352116e+81,70000.0,10682.8895,-10836.2038,2.0,-1.723280170810641e+83,0.00031481
122,0,2,5,-10.0,36.0,500,1.665870210610369e+81,50000.0,-13217.8864,-39985.6543,-2.0,1.7546862634781335e+83,0.00135073
122,0,2,6,-10.0,36.0,300,-1.1095519127915234e+82,30000.0,3064.0278,-12661.3826,0.0,-5.158971165605847e+83,0.00010207
183,0,3,1,-10.0,36.25,1000,-3.338085664659598e+82,100000.0,43835.3027,21035.9552,0.0,1216.02,0.00859132
183,0,3,2,-10.0,36.25,925,2.4710679877001933e+82,92500.0,27761.0418,49799.173,-2.0,-9.701704188837228e+82,0.00601019
183,0,3,3,-10.0,36.25,850,-1.2354114645329087e+82,85000.0,12870.7665,6635.2846,-2.0,5.294763786104523e+82,0.00525597
